date,fixed,generation,t,price
2016-01-01,0.016999999999995907,0.0,0,23.86
2016-01-01,0.06999999999999318,0.0,1,22.39
2016-01-01,0.013000000000033651,0.0,2,20.59
2016-01-01,0.013999999999953161,0.0,3,16.81
2016-01-01,0.06600000000003092,0.0,4,17.41
2016-01-01,0.019000000000005457,0.0,5,17.02
2016-01-01,0.013999999999953161,0.0,6,15.86
2016-01-01,0.05800000000004957,0.01999999999998181,7,18.16
2016-01-01,0.02400000000000091,0.2059999999999036,8,17.73
2016-01-01,0.014999999999986358,0.3970000000001619,9,19.77
2016-01-01,0.05900000000002592,0.6549999999999727,10,23.75
2016-01-01,0.01799999999997226,0.5499999999999545,11,26.03
2016-01-01,0.04200000000003001,0.4470000000001164,12,27.06
2016-01-01,0.043999999999925876,0.27899999999999636,13,26.59
2016-01-01,0.014000000000010004,0.13599999999996726,14,25.0
2016-01-01,0.040000000000020464,0.019000000000005457,15,24.43
2016-01-01,0.04400000000003956,0.0,16,28.87
2016-01-01,0.013999999999953161,0.0,17,37.44
2016-01-01,0.04200000000003001,0.0,18,37.41
2016-01-01,0.6649999999999636,0.0,19,35.34
2016-01-01,0.15399999999999636,0.0,20,33.07
2016-01-01,0.03400000000004866,0.0,21,29.52
2016-01-01,0.049999999999954525,0.0,22,30.1
2016-01-01,0.019000000000005457,0.0,23,24.57
2016-01-02,0.02600000000001046,0.0,0,22.2
2016-01-02,0.04599999999999227,0.0,1,16.57
2016-01-02,0.022000000000048203,0.0,2,15.35
2016-01-02,0.027999999999963165,0.0,3,12.77
2016-01-02,0.047000000000025466,0.0,4,11.27
2016-01-02,0.013000000000033651,0.0,5,11.91
2016-01-02,0.027999999999963165,0.0,6,12.62
2016-01-02,0.05500000000000682,0.029999999999972715,7,13.83
2016-01-02,0.014000000000010004,0.15899999999987813,8,16.12
2016-01-02,0.031999999999982265,0.22000000000002728,9,18.12
2016-01-02,0.19499999999993634,0.6300000000001091,10,19.59
2016-01-02,1.2060000000000173,0.6389999999998963,11,21.07
2016-01-02,1.8260000000000218,0.7480000000000473,12,22.54
2016-01-02,0.6410000000000196,0.3910000000000764,13,19.79
2016-01-02,0.049999999999954525,0.33399999999983265,14,16.9
2016-01-02,1.3180000000000405,0.009999999999990905,15,16.97
2016-01-02,0.012999999999976808,0.0,16,19.25
2016-01-02,0.05400000000008731,0.0,17,28.01
2016-01-02,0.017999999999915417,0.0,18,28.36
2016-01-02,0.051000000000044565,0.0,19,26.56
2016-01-02,0.019000000000005457,0.0,20,17.38
2016-01-02,0.05200000000002092,0.0,21,15.83
2016-01-02,0.019000000000005457,0.0,22,16.97
2016-01-02,0.03099999999994907,0.0,23,15.31
2016-01-03,0.03700000000003456,0.0,0,6.99
2016-01-03,0.01999999999998181,0.0,1,0.0
2016-01-03,0.04899999999997817,0.0,2,0.23
2016-01-03,0.014000000000010004,0.0,3,4.51
2016-01-03,0.055999999999983174,0.0,4,4.12
2016-01-03,0.016000000000019554,0.0,5,6.76
2016-01-03,0.033999999999991815,0.0,6,0.75
